"","Vteam","Hteam"
"1","Orlando Magic","Brooklyn Nets"
"2","Portland Trail Blazers","Chicago Bulls"
"3","Los Angeles Lakers","Minnesota Timberwolves"
"4","Milwaukee Bucks","Toronto Raptors"
"5","Portland Trail Blazers","Cleveland Cavaliers"
"6","Memphis Grizzlies","Los Angeles Clippers"
"7","San Antonio Spurs","New York Knicks"
"8","Atlanta Hawks","Phoenix Suns"
"9","Charlotte Hornets","Sacramento Kings"
"10","Cleveland Cavaliers","Boston Celtics"
"11","Minnesota Timberwolves","Brooklyn Nets"
"12","Toronto Raptors","Chicago Bulls"
"13","Golden State Warriors","Dallas Mavericks"
"14","Phoenix Suns","Denver Nuggets"
"15","Oklahoma City Thunder","Los Angeles Lakers"
"16","Detroit Pistons","Miami Heat"
"17","Indiana Pacers","Milwaukee Bucks"
"18","Houston Rockets","Orlando Magic"
"19","San Antonio Spurs","Philadelphia 76ers"
"20","New Orleans Pelicans","Utah Jazz"
"21","New York Knicks","Washington Wizards"
"22","Golden State Warriors","Houston Rockets"
"23","Oklahoma City Thunder","Los Angeles Clippers"
"24","Minnesota Timberwolves","Boston Celtics"
"25","Chicago Bulls","Dallas Mavericks"
"26","Utah Jazz","Denver Nuggets"
"27","Charlotte Hornets","Los Angeles Lakers"
"28","Washington Wizards","Memphis Grizzlies"
"29","New York Knicks","Miami Heat"
"30","Toronto Raptors","Milwaukee Bucks"
"31","Detroit Pistons","Philadelphia 76ers"
"32","Atlanta Hawks","Portland Trail Blazers"
"33","Phoenix Suns","San Antonio Spurs"
"34","Boston Celtics","Brooklyn Nets"
"35","Houston Rockets","Detroit Pistons"
"36","Chicago Bulls","Indiana Pacers"
"37","Golden State Warriors","Los Angeles Clippers"
"38","New Orleans Pelicans","Minnesota Timberwolves"
"39","Cleveland Cavaliers","Orlando Magic"
"40","Denver Nuggets","Sacramento Kings"
"41","Milwaukee Bucks","Washington Wizards"
"42","New York Knicks","Dallas Mavericks"
"43","Atlanta Hawks","Los Angeles Lakers"
"44","Utah Jazz","Miami Heat"
"45","Oklahoma City Thunder","Phoenix Suns"
"46","San Antonio Spurs","Portland Trail Blazers"
"47","Toronto Raptors","Brooklyn Nets"
"48","Houston Rockets","Chicago Bulls"
"49","Denver Nuggets","Golden State Warriors"
"50","Milwaukee Bucks","Indiana Pacers"
"51","Atlanta Hawks","Los Angeles Clippers"
"52","Cleveland Cavaliers","Minnesota Timberwolves"
"53","Detroit Pistons","New Orleans Pelicans"
"54","San Antonio Spurs","Sacramento Kings"
"55","Orlando Magic","Dallas Mavericks"
"56","Sacramento Kings","Los Angeles Lakers"
"57","Portland Trail Blazers","Oklahoma City Thunder"
"58","Miami Heat","Toronto Raptors"
"59","Detroit Pistons","Brooklyn Nets"
"60","Dallas Mavericks","Charlotte Hornets"
"61","Atlanta Hawks","Denver Nuggets"
"62","Los Angeles Clippers","Golden State Warriors"
"63","Portland Trail Blazers","Houston Rockets"
"64","Miami Heat","Indiana Pacers"
"65","New Orleans Pelicans","Memphis Grizzlies"
"66","Orlando Magic","Milwaukee Bucks"
"67","Oklahoma City Thunder","Minnesota Timberwolves"
"68","Chicago Bulls","New York Knicks"
"69","Utah Jazz","Washington Wizards"
"70","San Antonio Spurs","Los Angeles Lakers"
"71","Boston Celtics","Philadelphia 76ers"
"72","Los Angeles Clippers","Sacramento Kings"
