Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,37,241.4,43.5,85.7,.508,11.6,29.9,.390,31.8,55.8,.571,16.5,20.3,.816,8.6,36.3,44.8,30.5,8.3,8.4,16.1,20.0,115.2
2,Boston Celtics,40,240.6,37.7,83.1,.453,11.7,31.1,.376,26.0,52.0,.499,16.5,21.5,.764,8.8,35.2,44.0,22.1,7.5,4.6,14.2,20.1,103.5
3,Houston Rockets,35,241.4,39.1,84.3,.464,15.8,43.3,.365,23.3,41.0,.568,21.2,26.5,.799,9.3,34.5,43.8,22.2,9.1,4.8,15.3,20.8,115.2
4,Phoenix Suns,38,240.7,38.7,87.2,.443,8.8,26.1,.337,29.9,61.2,.488,19.7,26.0,.759,11.2,34.1,45.3,20.4,6.6,4.8,15.8,22.4,105.8
5,Minnesota Timberwolves,37,242.0,40.5,85.1,.476,8.2,23.1,.354,32.3,62.0,.521,19.4,24.4,.794,10.5,31.1,41.6,22.8,8.9,4.1,13.2,18.0,108.5
6,New Orleans Pelicans,36,242.1,41.6,85.0,.490,11.3,29.6,.381,30.4,55.5,.548,16.6,22.0,.756,8.2,34.6,42.8,26.7,7.4,4.9,15.8,19.6,111.2
7,Cleveland Cavaliers,36,240.7,39.6,82.8,.478,12.5,32.9,.381,27.0,50.0,.541,18.4,22.7,.811,8.3,33.5,41.8,23.5,7.3,3.7,14.4,18.6,110.1
8,Indiana Pacers,37,241.4,41.0,86.1,.476,9.8,25.3,.386,31.2,60.8,.514,15.2,19.7,.772,9.2,32.8,42.0,22.7,7.8,4.6,13.8,18.4,107.0
9,Washington Wizards,37,241.4,39.6,86.2,.459,9.8,26.6,.368,29.8,59.6,.499,17.4,22.8,.762,10.0,33.4,43.4,22.7,7.8,4.3,13.7,21.7,106.3
10,Philadelphia 76ers,36,242.8,40.2,87.2,.461,10.6,29.9,.355,29.6,57.3,.516,17.3,23.0,.752,11.3,36.4,47.7,26.2,8.4,5.1,18.1,23.9,108.3
11,Orlando Magic,37,240.7,39.5,86.1,.459,10.6,29.2,.362,29.0,56.9,.509,15.3,20.6,.745,8.4,33.1,41.4,23.2,7.4,4.8,14.9,19.7,105.0
12,Brooklyn Nets,36,240.7,38.5,87.3,.441,12.0,34.4,.350,26.5,52.9,.500,18.4,24.4,.754,10.4,35.0,45.5,22.8,6.5,4.0,15.8,20.6,107.4
13,Denver Nuggets,36,242.1,39.8,86.3,.462,11.1,30.5,.362,28.8,55.7,.516,16.4,22.1,.743,11.8,33.7,45.5,23.3,7.7,4.6,15.4,17.7,107.2
14,Dallas Mavericks,38,240.7,37.7,84.1,.449,11.7,31.9,.367,26.0,52.2,.499,13.8,18.0,.770,7.7,33.0,40.7,22.2,6.6,3.8,13.0,19.2,101.0
15,Oklahoma City Thunder,37,242.7,38.6,86.4,.447,10.2,28.8,.353,28.5,57.6,.494,16.0,22.6,.710,12.1,32.0,44.1,20.7,9.7,5.1,14.6,20.6,103.5
16,Toronto Raptors,34,240.0,40.6,86.2,.471,11.1,31.9,.350,29.5,54.3,.543,18.2,22.9,.798,9.6,32.9,42.5,22.8,8.8,5.8,14.0,22.2,110.6
17,Los Angeles Lakers,35,244.3,40.9,90.1,.454,8.8,26.9,.327,32.1,63.3,.508,16.7,24.2,.690,11.3,35.1,46.4,23.2,8.2,5.3,16.3,22.5,107.3
18,Charlotte Hornets,36,241.4,37.6,86.3,.435,8.8,25.1,.349,28.8,61.2,.471,20.3,27.8,.730,10.7,36.1,46.7,20.6,6.5,4.6,13.4,18.2,104.2
19,Utah Jazz,37,240.7,36.9,82.4,.448,11.2,29.8,.374,25.8,52.5,.490,16.2,20.1,.806,8.4,32.1,40.5,21.2,9.1,4.7,14.4,20.0,101.2
20,San Antonio Spurs,37,240.0,38.4,83.6,.459,8.8,24.2,.361,29.6,59.3,.499,15.6,20.0,.781,10.1,34.4,44.5,22.1,7.0,5.6,14.0,17.1,101.2
21,Atlanta Hawks,36,240.7,38.8,84.7,.458,10.9,28.6,.383,27.8,56.1,.496,15.4,19.8,.780,9.3,30.8,40.1,24.2,8.6,4.1,15.5,19.7,103.9
22,New York Knicks,36,240.7,40.0,86.0,.465,7.7,21.7,.355,32.3,64.3,.502,16.0,20.0,.799,10.9,33.6,44.5,22.8,7.0,4.8,15.3,20.7,103.6
23,Los Angeles Clippers,35,240.7,38.3,84.3,.454,10.7,30.1,.354,27.6,54.2,.509,18.3,24.3,.751,10.5,33.2,43.7,20.8,7.7,4.9,14.7,20.9,105.5
24,Memphis Grizzlies,37,240.7,35.8,80.6,.445,9.6,27.1,.354,26.3,53.5,.491,17.5,22.0,.794,8.6,31.0,39.6,20.8,7.3,5.3,14.1,22.8,98.7
25,Chicago Bulls,36,241.4,38.4,88.0,.436,10.5,29.9,.350,27.9,58.1,.480,13.3,17.9,.740,9.3,35.5,44.8,23.4,7.1,3.5,13.9,19.1,100.5
26,Miami Heat,36,240.7,37.2,81.9,.454,11.5,31.3,.368,25.7,50.6,.508,14.4,18.9,.765,8.1,33.1,41.2,21.0,7.4,4.8,15.3,20.1,100.4
27,Detroit Pistons,35,240.0,38.4,86.0,.447,10.9,28.9,.379,27.5,57.1,.481,14.3,19.0,.755,10.5,32.1,42.6,21.9,7.8,3.3,14.3,18.9,102.1
28,Milwaukee Bucks,34,240.7,39.4,81.7,.482,8.7,24.9,.349,30.7,56.9,.541,17.3,22.9,.757,7.6,31.0,38.7,22.6,8.4,5.2,13.3,22.4,104.8
29,Portland Trail Blazers,35,240.7,37.7,85.2,.443,9.1,24.7,.368,28.7,60.5,.474,17.1,21.5,.794,9.9,35.1,44.9,18.1,6.7,5.3,14.7,19.5,101.7
30,Sacramento Kings,36,240.7,38.0,84.7,.448,8.6,22.6,.382,29.3,62.1,.472,12.4,17.2,.722,9.3,30.6,39.9,20.8,8.0,4.3,14.3,19.7,97.0
,League Average,36,241.1,39.1,85.1,.459,10.4,28.7,.363,28.6,56.5,.507,16.7,21.8,.765,9.7,33.5,43.2,22.6,7.7,4.8,14.7,20.2,105.2
