"","WLoc","WTeam","LTeam"
"1","V","Sacramento Kings","Chicago Bulls"
"2","V","San Antonio Spurs","Memphis Grizzlies"
"3","H","Miami Heat","Charlotte Hornets"
"4","H","Oklahoma City Thunder","Minnesota Timberwolves"
"5","V","Golden State Warriors","Orlando Magic"
"6","H","Toronto Raptors","Indiana Pacers"
"7","H","Utah Jazz","New Orleans Pelicans"
"8","H","Washington Wizards","Detroit Pistons"
"9","H","Boston Celtics","Phoenix Suns"
"10","V","Atlanta Hawks","Brooklyn Nets"
"11","H","Cleveland Cavaliers","Memphis Grizzlies"
"12","H","Dallas Mavericks","Los Angeles Clippers"
"13","H","Denver Nuggets","Los Angeles Lakers"
"14","H","Milwaukee Bucks","Sacramento Kings"
"15","H","Philadelphia 76ers","Detroit Pistons"
"16","V","New Orleans Pelicans","Portland Trail Blazers"
"17","V","Houston Rockets","Los Angeles Lakers"
"18","V","Golden State Warriors","Miami Heat"
"19","H","Minnesota Timberwolves","Los Angeles Clippers"
"20","V","Orlando Magic","New York Knicks"
"21","H","Oklahoma City Thunder","San Antonio Spurs"
"22","V","Brooklyn Nets","Atlanta Hawks"
"23","H","Boston Celtics","Milwaukee Bucks"
"24","V","Cleveland Cavaliers","Chicago Bulls"
"25","H","Charlotte Hornets","Orlando Magic"
"26","H","Dallas Mavericks","Denver Nuggets"
"27","H","Indiana Pacers","New York Knicks"
"28","H","Memphis Grizzlies","Minnesota Timberwolves"
"29","V","Golden State Warriors","New Orleans Pelicans"
"30","V","Phoenix Suns","Philadelphia 76ers"
"31","H","San Antonio Spurs","Detroit Pistons"
"32","H","Utah Jazz","Washington Wizards"
"33","H","Oklahoma City Thunder","Utah Jazz"
"34","V","Washington Wizards","Portland Trail Blazers"
"35","H","Toronto Raptors","Phoenix Suns"
"36","H","Boston Celtics","Dallas Mavericks"
"37","V","Golden State Warriors","Charlotte Hornets"
"38","H","Cleveland Cavaliers","Sacramento Kings"
"39","H","Indiana Pacers","Chicago Bulls"
"40","V","Minnesota Timberwolves","Los Angeles Clippers"
"41","H","Milwaukee Bucks","Detroit Pistons"
"42","H","New Orleans Pelicans","Denver Nuggets"
"43","H","New York Knicks","Memphis Grizzlies"
"44","H","Orlando Magic","Atlanta Hawks"
"45","H","San Antonio Spurs","Miami Heat"
"46","H","Brooklyn Nets","Oklahoma City Thunder"
"47","V","Los Angeles Lakers","Philadelphia 76ers"
"48","V","Washington Wizards","Phoenix Suns"
"49","V","Houston Rockets","Utah Jazz"
"50","V","Chicago Bulls","Charlotte Hornets"
"51","V","Golden State Warriors","Detroit Pistons"
"52","H","Indiana Pacers","Cleveland Cavaliers"
"53","V","Toronto Raptors","Memphis Grizzlies"
"54","H","Milwaukee Bucks","Dallas Mavericks"
"55","V","Sacramento Kings","New Orleans Pelicans"
"56","V","Denver Nuggets","Orlando Magic"
"57","H","San Antonio Spurs","Boston Celtics"
"58","H","Atlanta Hawks","Orlando Magic"
"59","V","Miami Heat","Brooklyn Nets"
"60","H","Chicago Bulls","New York Knicks"
"61","V","Los Angeles Lakers","Charlotte Hornets"
"62","H","Cleveland Cavaliers","Philadelphia 76ers"
"63","H","Los Angeles Clippers","Washington Wizards"
"64","V","Oklahoma City Thunder","Memphis Grizzlies"
"65","H","Milwaukee Bucks","Utah Jazz"
"66","V","San Antonio Spurs","Phoenix Suns"
"67","V","Houston Rockets","Portland Trail Blazers"
"68","V","Boston Celtics","Detroit Pistons"
"69","H","Indiana Pacers","Denver Nuggets"
"70","H","Minnesota Timberwolves","Dallas Mavericks"
"71","H","New Orleans Pelicans","Philadelphia 76ers"
"72","H","New York Knicks","Atlanta Hawks"
"73","V","Toronto Raptors","Sacramento Kings"
"74","H","Chicago Bulls","Boston Celtics"
"75","H","Golden State Warriors","Portland Trail Blazers"
"76","H","Houston Rockets","New Orleans Pelicans"
"77","H","Los Angeles Clippers","Toronto Raptors"
"78","V","Miami Heat","Memphis Grizzlies"
"79","V","Charlotte Hornets","Oklahoma City Thunder"
"80","H","Brooklyn Nets","Washington Wizards"
"81","H","Cleveland Cavaliers","Atlanta Hawks"
"82","H","Dallas Mavericks","San Antonio Spurs"
"83","V","Denver Nuggets","Detroit Pistons"
"84","V","Philadelphia 76ers","Minnesota Timberwolves"
"85","H","New York Knicks","Los Angeles Lakers"
"86","H","Sacramento Kings","Phoenix Suns"
"87","H","Boston Celtics","Denver Nuggets"
"88","H","Chicago Bulls","Utah Jazz"
"89","H","Houston Rockets","Charlotte Hornets"
"90","V","Oklahoma City Thunder","Indiana Pacers"
"91","V","Portland Trail Blazers","Miami Heat"
"92","H","New Orleans Pelicans","Milwaukee Bucks"
"93","V","Los Angeles Clippers","Orlando Magic"
"94","V","Toronto Raptors","Phoenix Suns"
"95","H","Washington Wizards","Memphis Grizzlies"
"96","V","Detroit Pistons","Atlanta Hawks"
"97","V","New York Knicks","Brooklyn Nets"
"98","H","Cleveland Cavaliers","Los Angeles Lakers"
"99","H","Golden State Warriors","Dallas Mavericks"
"100","H","Minnesota Timberwolves","Sacramento Kings"
"101","V","Utah Jazz","Boston Celtics"
"102","V","Miami Heat","Charlotte Hornets"
"103","H","Denver Nuggets","New Orleans Pelicans"
"104","H","Houston Rockets","San Antonio Spurs"
"105","V","Detroit Pistons","Indiana Pacers"
"106","H","Memphis Grizzlies","Atlanta Hawks"
"107","V","Chicago Bulls","Milwaukee Bucks"
"108","V","Portland Trail Blazers","Orlando Magic"
"109","V","Oklahoma City Thunder","Philadelphia 76ers"
"110","H","Toronto Raptors","Brooklyn Nets"
"111","H","Washington Wizards","Los Angeles Clippers"
"112","V","Portland Trail Blazers","Charlotte Hornets"
"113","H","Cleveland Cavaliers","Utah Jazz"
"114","H","Houston Rockets","Milwaukee Bucks"
"115","V","Boston Celtics","Memphis Grizzlies"
"116","H","Miami Heat","Los Angeles Clippers"
"117","V","Phoenix Suns","Minnesota Timberwolves"
"118","H","New York Knicks","Oklahoma City Thunder"
"119","H","San Antonio Spurs","Dallas Mavericks"
"120","V","Indiana Pacers","Brooklyn Nets"
"121","H","Detroit Pistons","Orlando Magic"
"122","H","Toronto Raptors","Sacramento Kings"
"123","V","Cleveland Cavaliers","Washington Wizards"
"124","H","Atlanta Hawks","Miami Heat"
"125","H","Chicago Bulls","Philadelphia 76ers"
"126","H","Charlotte Hornets","New York Knicks"
"127","V","Phoenix Suns","Dallas Mavericks"
"128","H","Houston Rockets","Utah Jazz"
"129","V","Boston Celtics","Indiana Pacers"
"130","V","Golden State Warriors","Los Angeles Lakers"
"131","H","Minnesota Timberwolves","Portland Trail Blazers"
"132","H","Oklahoma City Thunder","Denver Nuggets"
"133","H","San Antonio Spurs","Los Angeles Clippers"
"134","H","Milwaukee Bucks","Cleveland Cavaliers"
"135","V","Sacramento Kings","Philadelphia 76ers"
"136","H","Washington Wizards","New Orleans Pelicans"
"137","V","Indiana Pacers","Atlanta Hawks"
"138","V","Miami Heat","Boston Celtics"
"139","V","Sacramento Kings","Brooklyn Nets"
"140","H","Chicago Bulls","Orlando Magic"
"141","V","Toronto Raptors","Charlotte Hornets"
"142","H","Dallas Mavericks","Detroit Pistons"
"143","V","Minnesota Timberwolves","Denver Nuggets"
"144","H","Golden State Warriors","Memphis Grizzlies"
"145","V","Los Angeles Lakers","Houston Rockets"
"146","H","Los Angeles Clippers","Phoenix Suns"
"147","H","Oklahoma City Thunder","Utah Jazz"
"148","V","San Antonio Spurs","Portland Trail Blazers"
"149","H","Cleveland Cavaliers","Chicago Bulls"
"150","H","New York Knicks","Boston Celtics"
"151","V","Toronto Raptors","Philadelphia 76ers"
"152","H","Phoenix Suns","Memphis Grizzlies"
"153","H","Utah Jazz","San Antonio Spurs"
"154","H","Brooklyn Nets","Washington Wizards"
"155","H","Detroit Pistons","New York Knicks"
"156","H","Golden State Warriors","Los Angeles Lakers"
"157","V","Los Angeles Clippers","Houston Rockets"
"158","H","Miami Heat","Dallas Mavericks"
"159","H","Milwaukee Bucks","Charlotte Hornets"
"160","H","Oklahoma City Thunder","Atlanta Hawks"
"161","V","New Orleans Pelicans","Orlando Magic"
"162","V","Denver Nuggets","Portland Trail Blazers"
"163","H","Atlanta Hawks","Dallas Mavericks"
"164","H","Boston Celtics","Chicago Bulls"
"165","H","Charlotte Hornets","Milwaukee Bucks"
"166","V","Denver Nuggets","Golden State Warriors"
"167","H","Indiana Pacers","Brooklyn Nets"
"168","V","Portland Trail Blazers","Los Angeles Lakers"
"169","H","Memphis Grizzlies","Los Angeles Clippers"
"170","V","New Orleans Pelicans","Miami Heat"
"171","V","Minnesota Timberwolves","Phoenix Suns"
"172","V","San Antonio Spurs","Sacramento Kings"
"173","H","Toronto Raptors","Philadelphia 76ers"
"174","V","Oklahoma City Thunder","Utah Jazz"
"175","H","Washington Wizards","Orlando Magic"
"176","V","Washington Wizards","Boston Celtics"
"177","H","Golden State Warriors","Cleveland Cavaliers"
"178","V","Minnesota Timberwolves","Los Angeles Lakers"
"179","V","Philadelphia 76ers","New York Knicks"
"180","H","Oklahoma City Thunder","Houston Rockets"
"181","H","Dallas Mavericks","Toronto Raptors"
"182","H","Denver Nuggets","Utah Jazz"
"183","H","Detroit Pistons","Indiana Pacers"
"184","H","Los Angeles Clippers","Sacramento Kings"
"185","H","Miami Heat","Orlando Magic"
"186","V","Chicago Bulls","Milwaukee Bucks"
"187","H","Phoenix Suns","Memphis Grizzlies"
"188","H","San Antonio Spurs","Brooklyn Nets"
"189","H","Atlanta Hawks","Washington Wizards"
"190","H","Chicago Bulls","New York Knicks"
"191","V","Boston Celtics","Charlotte Hornets"
"192","H","Golden State Warriors","Utah Jazz"
"193","V","Dallas Mavericks","Indiana Pacers"
"194","V","Memphis Grizzlies","Los Angeles Lakers"
"195","H","Minnesota Timberwolves","Denver Nuggets"
"196","H","New Orleans Pelicans","Brooklyn Nets"
"197","H","Oklahoma City Thunder","Toronto Raptors"
"198","H","Sacramento Kings","Cleveland Cavaliers"
"199","H","Boston Celtics","Houston Rockets"
"200","H","Milwaukee Bucks","Minnesota Timberwolves"
"201","H","Orlando Magic","Detroit Pistons"
"202","H","Portland Trail Blazers","Philadelphia 76ers"
"203","H","San Antonio Spurs","New York Knicks"
"204","H","Chicago Bulls","Indiana Pacers"
"205","V","Charlotte Hornets","Golden State Warriors"
"206","V","Los Angeles Clippers","Los Angeles Lakers"
"207","V","Brooklyn Nets","Miami Heat"
"208","V","Dallas Mavericks","New Orleans Pelicans"
"209","V","Milwaukee Bucks","Oklahoma City Thunder"
"210","V","Phoenix Suns","Sacramento Kings"
"211","H","Toronto Raptors","Atlanta Hawks"
"212","H","Washington Wizards","Houston Rockets"
"213","H","Atlanta Hawks","Portland Trail Blazers"
"214","V","Philadelphia 76ers","Denver Nuggets"
"215","H","Detroit Pistons","San Antonio Spurs"
"216","H","Golden State Warriors","Memphis Grizzlies"
"217","V","New York Knicks","New Orleans Pelicans"
"218","V","Miami Heat","Orlando Magic"
"219","H","Utah Jazz","Cleveland Cavaliers"
"220","H","Boston Celtics","Brooklyn Nets"
"221","H","Houston Rockets","Los Angeles Lakers"
"222","V","Minnesota Timberwolves","Indiana Pacers"
"223","H","Los Angeles Clippers","Charlotte Hornets"
"224","V","Dallas Mavericks","Oklahoma City Thunder"
"225","V","Philadelphia 76ers","Phoenix Suns"
"226","V","Memphis Grizzlies","Sacramento Kings"
"227","H","Washington Wizards","Chicago Bulls"
"228","H","Boston Celtics","Sacramento Kings"
"229","H","Charlotte Hornets","Milwaukee Bucks"
"230","V","Indiana Pacers","Cleveland Cavaliers"
"231","H","Denver Nuggets","Toronto Raptors"
"232","H","Los Angeles Clippers","Dallas Mavericks"
"233","V","Orlando Magic","Memphis Grizzlies"
"234","H","Miami Heat","Chicago Bulls"
"235","V","Minnesota Timberwolves","New Orleans Pelicans"
"236","V","Houston Rockets","New York Knicks"
"237","H","Philadelphia 76ers","Atlanta Hawks"
"238","H","Utah Jazz","Portland Trail Blazers"
"239","V","Phoenix Suns","Washington Wizards"
"240","H","Portland Trail Blazers","Los Angeles Lakers"
"241","V","Golden State Warriors","San Antonio Spurs"
"242","V","Houston Rockets","Atlanta Hawks"
"243","V","New Orleans Pelicans","Dallas Mavericks"
"244","H","Denver Nuggets","Miami Heat"
"245","H","Detroit Pistons","Milwaukee Bucks"
"246","H","Los Angeles Lakers","Brooklyn Nets"
"247","H","New York Knicks","Phoenix Suns"
"248","V","Boston Celtics","Oklahoma City Thunder"
"249","V","Chicago Bulls","Orlando Magic"
"250","H","Philadelphia 76ers","Indiana Pacers"
"251","H","San Antonio Spurs","Charlotte Hornets"
"252","V","Toronto Raptors","Utah Jazz"
"253","V","Cleveland Cavaliers","Washington Wizards"
"254","V","New Orleans Pelicans","Chicago Bulls"
"255","V","Golden State Warriors","Denver Nuggets"
"256","H","Detroit Pistons","Sacramento Kings"
"257","V","Memphis Grizzlies","Los Angeles Clippers"
"258","H","Minnesota Timberwolves","Dallas Mavericks"
"259","V","Atlanta Hawks","Cleveland Cavaliers"
"260","H","Houston Rockets","Utah Jazz"
"261","V","Miami Heat","Los Angeles Clippers"
"262","H","Los Angeles Lakers","Memphis Grizzlies"
"263","H","Minnesota Timberwolves","Charlotte Hornets"
"264","H","New York Knicks","Indiana Pacers"
"265","V","Boston Celtics","Orlando Magic"
"266","H","Portland Trail Blazers","Oklahoma City Thunder"
"267","H","San Antonio Spurs","Phoenix Suns"
"268","V","Washington Wizards","Toronto Raptors"
"269","V","Boston Celtics","Atlanta Hawks"
"270","H","Golden State Warriors","Miami Heat"
"271","V","Brooklyn Nets","Phoenix Suns"
"272","H","Cleveland Cavaliers","Milwaukee Bucks"
"273","H","Denver Nuggets","Brooklyn Nets"
"274","V","New Orleans Pelicans","Indiana Pacers"
"275","H","New York Knicks","Charlotte Hornets"
"276","V","Memphis Grizzlies","Portland Trail Blazers"
"277","H","Sacramento Kings","Oklahoma City Thunder"
"278","H","San Antonio Spurs","Los Angeles Clippers"
"279","H","Toronto Raptors","Chicago Bulls"
"280","V","Philadelphia 76ers","Utah Jazz"
"281","V","Dallas Mavericks","Washington Wizards"
"282","H","Boston Celtics","Los Angeles Lakers"
"283","H","Detroit Pistons","Indiana Pacers"
"284","H","Golden State Warriors","Minnesota Timberwolves"
"285","H","Orlando Magic","New York Knicks"
"286","V","Miami Heat","Phoenix Suns"
"287","H","Denver Nuggets","Oklahoma City Thunder"
"288","H","Houston Rockets","Cleveland Cavaliers"
"289","H","Sacramento Kings","Philadelphia 76ers"
"290","H","Toronto Raptors","New Orleans Pelicans"
"291","H","Washington Wizards","Los Angeles Lakers"
"292","H","Boston Celtics","Charlotte Hornets"
"293","V","Indiana Pacers","Chicago Bulls"
"294","H","Detroit Pistons","Atlanta Hawks"
"295","H","Oklahoma City Thunder","Los Angeles Clippers"
"296","V","Orlando Magic","Phoenix Suns"
"297","V","Brooklyn Nets","Portland Trail Blazers"
"298","V","Milwaukee Bucks","San Antonio Spurs"
"299","V","Miami Heat","Utah Jazz"
"300","V","Cleveland Cavaliers","Dallas Mavericks"
"301","H","Denver Nuggets","Orlando Magic"
"302","H","Golden State Warriors","Philadelphia 76ers"
"303","H","Houston Rockets","Memphis Grizzlies"
"304","H","Milwaukee Bucks","Los Angeles Lakers"
"305","H","New Orleans Pelicans","Los Angeles Clippers"
"306","H","New York Knicks","Sacramento Kings"
"307","H","Phoenix Suns","Minnesota Timberwolves"
"308","H","San Antonio Spurs","Chicago Bulls"
"309","H","Utah Jazz","Brooklyn Nets"
"310","H","Washington Wizards","Atlanta Hawks"
"311","H","Boston Celtics","Toronto Raptors"
"312","H","Detroit Pistons","Miami Heat"
"313","V","Houston Rockets","Indiana Pacers"
"314","H","Oklahoma City Thunder","Dallas Mavericks"
"315","H","Golden State Warriors","Orlando Magic"
"316","V","Philadelphia 76ers","Los Angeles Clippers"
"317","H","Milwaukee Bucks","Memphis Grizzlies"
