win,lose,probability
Brooklyn Nets,Orlando Magic,0.588533290703
Portland Trail Blazers,Chicago Bulls,0.542618114589
Minnesota Timberwolves,Los Angeles Lakers,0.873183882617
Toronto Raptors,Milwaukee Bucks,0.725043243407
Cleveland Cavaliers,Portland Trail Blazers,0.703293375925
Los Angeles Clippers,Memphis Grizzlies,0.678114062547
San Antonio Spurs,New York Knicks,0.65462482418
Phoenix Suns,Atlanta Hawks,0.615870043052
Sacramento Kings,Charlotte Hornets,0.546335121233
Cleveland Cavaliers,Boston Celtics,0.518210087145
Minnesota Timberwolves,Brooklyn Nets,0.661526473548
Toronto Raptors,Chicago Bulls,0.752417389118
Golden State Warriors,Dallas Mavericks,0.886714286508
Denver Nuggets,Phoenix Suns,0.837190820985
Oklahoma City Thunder,Los Angeles Lakers,0.760739771184
Detroit Pistons,Miami Heat,0.55025806442
Milwaukee Bucks,Indiana Pacers,0.627741768924
Houston Rockets,Orlando Magic,0.914168117999
San Antonio Spurs,Philadelphia 76ers,0.697440273883
New Orleans Pelicans,Utah Jazz,0.580583083462
Washington Wizards,New York Knicks,0.619103686664
Golden State Warriors,Houston Rockets,0.710533957227
Oklahoma City Thunder,Los Angeles Clippers,0.648332581235
Boston Celtics,Minnesota Timberwolves,0.712925844037
Chicago Bulls,Dallas Mavericks,0.563113610585
Denver Nuggets,Utah Jazz,0.583501985089
Charlotte Hornets,Los Angeles Lakers,0.535088385402
Washington Wizards,Memphis Grizzlies,0.69263466187
Miami Heat,New York Knicks,0.546606678263
Toronto Raptors,Milwaukee Bucks,0.565238663944
Detroit Pistons,Philadelphia 76ers,0.600909109511
Portland Trail Blazers,Atlanta Hawks,0.693790990478
San Antonio Spurs,Phoenix Suns,0.892626420283
Boston Celtics,Brooklyn Nets,0.84200930146
Houston Rockets,Detroit Pistons,0.788235007327
Indiana Pacers,Chicago Bulls,0.61344038481
Golden State Warriors,Los Angeles Clippers,0.853731041086
Minnesota Timberwolves,New Orleans Pelicans,0.684056303811
Cleveland Cavaliers,Orlando Magic,0.862986390475
Denver Nuggets,Sacramento Kings,0.628282492135
Washington Wizards,Milwaukee Bucks,0.642520391969
New York Knicks,Dallas Mavericks,0.598526665919
Los Angeles Lakers,Atlanta Hawks,0.540572435044
Miami Heat,Utah Jazz,0.548932076575
Oklahoma City Thunder,Phoenix Suns,0.700007140925
San Antonio Spurs,Portland Trail Blazers,0.692156821071
Toronto Raptors,Brooklyn Nets,0.794323834235
Houston Rockets,Chicago Bulls,0.874162780905
Golden State Warriors,Denver Nuggets,0.756317694661
Indiana Pacers,Milwaukee Bucks,0.602729215351
Los Angeles Clippers,Atlanta Hawks,0.669885889788
Cleveland Cavaliers,Minnesota Timberwolves,0.556596651717
Detroit Pistons,New Orleans Pelicans,0.530584963188
San Antonio Spurs,Sacramento Kings,0.757499504197
Dallas Mavericks,Orlando Magic,0.613859181436
Los Angeles Lakers,Sacramento Kings,0.566599889622
Oklahoma City Thunder,Portland Trail Blazers,0.593965528647
Toronto Raptors,Miami Heat,0.66287549299
Detroit Pistons,Brooklyn Nets,0.709647144422
Dallas Mavericks,Charlotte Hornets,0.668674884405
Denver Nuggets,Atlanta Hawks,0.757925059984
Golden State Warriors,Los Angeles Clippers,0.825050482783
Houston Rockets,Portland Trail Blazers,0.70156482243
Indiana Pacers,Miami Heat,0.530802769405
New Orleans Pelicans,Memphis Grizzlies,0.693385350376
Milwaukee Bucks,Orlando Magic,0.809481228853
Minnesota Timberwolves,Oklahoma City Thunder,0.602151053175
New York Knicks,Chicago Bulls,0.579484443967
Washington Wizards,Utah Jazz,0.621314856659
San Antonio Spurs,Los Angeles Lakers,0.812369021871
Boston Celtics,Philadelphia 76ers,0.766533260079
Los Angeles Clippers,Sacramento Kings,0.526601051546
Cleveland Cavaliers,Toronto Raptors,0.569198725803
Atlanta Hawks,Brooklyn Nets,0.517828066785
Utah Jazz,Charlotte Hornets,0.618691941114
Denver Nuggets,Memphis Grizzlies,0.764729529239
Cleveland Cavaliers,Indiana Pacers,0.696640363532
Golden State Warriors,Milwaukee Bucks,0.745457504629
Minnesota Timberwolves,New York Knicks,0.715096004146
New Orleans Pelicans,Portland Trail Blazers,0.589197684558
Houston Rockets,Phoenix Suns,0.882304254341
Washington Wizards,Orlando Magic,0.793907027652
Detroit Pistons,Chicago Bulls,0.657917933222
Oklahoma City Thunder,Charlotte Hornets,0.730904363299
Dallas Mavericks,Los Angeles Lakers,0.647898262881
Los Angeles Clippers,Sacramento Kings,0.692751332845
San Antonio Spurs,Denver Nuggets,0.647428856894
Golden State Warriors,Toronto Raptors,0.687667474251
Washington Wizards,Brooklyn Nets,0.750445636439
Miami Heat,Milwaukee Bucks,0.571394793314
Minnesota Timberwolves,Portland Trail Blazers,0.733943634489
New York Knicks,New Orleans Pelicans,0.506836392136
Indiana Pacers,Phoenix Suns,0.599338979166
San Antonio Spurs,Atlanta Hawks,0.795510748076
New York Knicks,Brooklyn Nets,0.623630817133
